hour,,day,,,lat,lng,,,,,,,,weight
8,,monday,,,23.784506,90.403409,,,,,,,,6.2
8,,thursday,,,23.698502,90.42949,,,,,,,,5.5
6,,friday,,,23.711414,90.415019,,,,,,,,16.6
5,,monday,,,23.783794,90.378374,,,,,,,,1.1
1,,wednesday,,,23.763,90.3897,,,,,,,,0
12,,wednesday,,,23.763,90.3897,,,,,,,,0
12,,wednesday,,,23.763,90.3897,,,,,,,,0
5,,sunday,,,23.720046,90.421578,,,,,,,,5.1
5,,tuesday,,,23.720046,90.421578,,,,,,,,17.6
1,,sunday,,,23.860422,90.367672,,,,,,,,0
4,,monday,,,23.728907,90.417137,,,,,,,,2.1
5,,friday,,,23.728907,90.417137,,,,,,,,2.3
7,,wednesday,,,23.874875,90.393071,,,,,,,,12.5
2,,thursday,,,23.874875,90.393071,,,,,,,,0
3,,sunday,,,23.874875,90.393071,,,,,,,,10
1,,friday,,,23.874875,90.393071,,,,,,,,0
1,,friday,,,23.874875,90.393071,,,,,,,,0
6,,sunday,,,23.874875,90.393071,,,,,,,,11.7
10,,monday,,,23.728907,90.417137,,,,,,,,0
6,,friday,,,23.80476,90.42575,,,,,,,,0.4
11,,saturday,,,23.913894,90.320686,,,,,,,,17.3
2,,saturday,,,23.728907,90.417137,,,,,,,,0
8,,tuesday,,,23.728907,90.417137,,,,,,,,2.5
10,,monday,,,23.782726,90.348319,,,,,,,,1.4
5,,thursday,,,23.913894,90.320686,,,,,,,,7.3
2,,monday,,,23.913894,90.320686,,,,,,,,0
3,,saturday,,,23.913894,90.320686,,,,,,,,0.6
8,,thursday,,,23.913894,90.320686,,,,,,,,7.4
8,,tuesday,,,23.913894,90.320686,,,,,,,,6.5
8,,thursday,,,23.913894,90.320686,,,,,,,,7.4
8,,monday,,,23.793708,90.453284,,,,,,,,10.1
8,,monday,,,23.793708,90.453284,,,,,,,,10.1
10,,tuesday,,,23.793708,90.453284,,,,,,,,0
8,,thursday,,,23.793708,90.453284,,,,,,,,3.1
11,,saturday,,,23.793708,90.453284,,,,,,,,0
10,,tuesday,,,23.793708,90.453284,,,,,,,,0
3,,sunday,,,23.793708,90.453284,,,,,,,,0
11,,thursday,,,23.79259,90.407646,,,,,,,,0
7,,tuesday,,,23.79259,90.407646,,,,,,,,5.7
3,,tuesday,,,23.79259,90.407646,,,,,,,,1.2
2,,saturday,,,23.79259,90.407646,,,,,,,,0
1,,saturday,,,23.913894,90.320686,,,,,,,,0
5,,thursday,,,23.784506,90.403409,,,,,,,,0
5,,saturday,,,23.784506,90.403409,,,,,,,,13.4
1,,tuesday,,,23.784506,90.403409,,,,,,,,0
10,,saturday,,,23.728907,90.417137,,,,,,,,1.2
5,,thursday,,,23.728907,90.417137,,,,,,,,1.2
10,,saturday,,,23.728907,90.417137,,,,,,,,3
6,,friday,,,23.865506,90.413772,,,,,,,,80
12,,sunday,,,23.785337,90.342439,,,,,,,,0
11,,wednesday,,,23.794413,90.413735,,,,,,,,0
10,,sunday,,,23.865506,90.413772,,,,,,,,0
12,,tuesday,,,23.865506,90.413772,,,,,,,,0
7,,wednesday,,,23.728907,90.417137,,,,,,,,5.1
2,,wednesday,,,23.728907,90.417137,,,,,,,,0
10,,friday,,,23.784506,90.403409,,,,,,,,0
12,,sunday,,,23.794413,90.413735,,,,,,,,0
5,,friday,,,23.784506,90.403409,,,,,,,,28
7,,thursday,,,23.874875,90.393071,,,,,,,,11.4
8,,saturday,,,23.740038,90.35886,,,,,,,,28.7
8,,saturday,,,23.714039,90.450656,,,,,,,,28.7
8,,thursday,,,23.827398,90.364473,,,,,,,,4.2
9,,tuesday,,,23.752027,90.421808,,,,,,,,0.6
9,,tuesday,,,23.752027,90.421808,,,,,,,,45.1
12,,sunday,,,23.794413,90.413735,,,,,,,,0
6,,monday,,,23.794413,90.413735,,,,,,,,6.5
11,,thursday,,,23.733251,90.442769,,,,,,,,0
10,,thursday,,,23.7257475,90.3975835,,,,,,,,20
1,,thursday,,,23.85,90.01,,,,,,,,0
7,,saturday,,,23.90833,90.21667,,,,,,,,7.6
7,,tuesday,,,23.90833,90.21667,,,,,,,,9.1
5,,monday,,,23.90833,90.21667,,,,,,,,10.9
4,,sunday,,,23.90833,90.21667,,,,,,,,0.5
10,,thursday,,,23.90833,90.21667,,,,,,,,4
8,,sunday,,,23.90833,90.21667,,,,,,,,1.4
8,,sunday,,,23.90833,90.21667,,,,,,,,1.4
5,,monday,,,23.90833,90.21667,,,,,,,,10.9
8,,sunday,,,23.90833,90.21667,,,,,,,,1.4
9,,monday,,,23.90833,90.21667,,,,,,,,11
3,,saturday,,,23.90833,90.21667,,,,,,,,0
11,,tuesday,,,23.90833,90.21667,,,,,,,,0
7,,friday,,,23.90833,90.21667,,,,,,,,1.9
5,,thursday,,,23.90833,90.21667,,,,,,,,3.7
9,,sunday,,,23.744806,90.373922,,,,,,,,27.6
1,,monday,,,23.5958,90.1222,,,,,,,,0
10,,wednesday,,,23.738268,90.380707,,,,,,,,2.3
10,,friday,,,23.749054,90.386405,,,,,,,,0
8,,monday,,,23.72483,90.410781,,,,,,,,6
8,,wednesday,,,23.7917,90.4167,,,,,,,,15.9
4,,sunday,,,23.740038,90.35886,,,,,,,,26.7
12,,saturday,,,24.13499,90.79924,,,,,,,,0
12,,saturday,,,23.714039,90.450656,,,,,,,,0
4,,monday,,,23.714039,90.450656,,,,,,,,8
4,,monday,,,23.714039,90.450656,,,,,,,,8
4,,saturday,,,23.714039,90.450656,,,,,,,,0.4
6,,wednesday,,,23.714039,90.450656,,,,,,,,5.5
1,,saturday,,,23.714039,90.450656,,,,,,,,0
12,,sunday,,,23.714039,90.450656,,,,,,,,0
4,,saturday,,,23.685475,90.448537,,,,,,,,0.3
12,,monday,,,23.737146,90.410583,,,,,,,,0
2,,wednesday,,,23.728907,90.417137,,,,,,,,0
11,,tuesday,,,23.784506,90.403409,,,,,,,,0
10,,wednesday,,,23.68333,90.33333,,,,,,,,1
8,,sunday,,,23.68333,90.33333,,,,,,,,12.2
6,,thursday,,,23.752027,90.421808,,,,,,,,7.2
12,,tuesday,,,23.752027,90.421808,,,,,,,,0
12,,monday,,,23.752027,90.421808,,,,,,,,0
1,,tuesday,,,23.752027,90.421808,,,,,,,,0
8,,tuesday,,,23.752027,90.421808,,,,,,,,5.5
6,,wednesday,,,23.752027,90.421808,,,,,,,,1.7
6,,wednesday,,,23.752027,90.421808,,,,,,,,1.7
6,,tuesday,,,23.752027,90.421808,,,,,,,,9.2
6,,tuesday,,,23.752027,90.421808,,,,,,,,9.2
8,,monday,,,23.784506,90.403409,,,,,,,,1.8
7,,friday,,,23.728907,90.417137,,,,,,,,4.1
5,,thursday,,,23.728907,90.417137,,,,,,,,1.2
3,,tuesday,,,23.847177,90.4041325,,,,,,,,1.6
8,,tuesday,,,23.721427,90.375435,,,,,,,,18.6
8,,sunday,,,23.85,90.01,,,,,,,,1.1
