id,incident_month,incident_week,day,weekend,part_of_the_day,hour,,lat,long,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,,humidity,visibility,,,season,crime,weight
66,4,16,thursday,0,evening,18 - 19:59,,23.714039,90.450656,jatrabari,dhaka,dhaka,36,33,27,176,,65,9,,,hot,murder,10
67,2,7,monday,0,noon,12 - 15:59,,23.714039,90.450656,jatrabari,dhaka,dhaka,31,26,19,113,,39,10,,,winter,murder,10
68,5,20,friday,1,night,20 - 5:59,,23.714039,90.450656,jatrabari,dhaka,dhaka,37,34,28,356,,70,9,,,hot,murder,10
69,6,22,thursday,0,morning,6 - 11:59,,23.714039,90.450656,jatrabari,dhaka,dhaka,34,32,28,359,,78,6,,,rainy,murder,10
70,2,7,sunday,0,morning,6 - 11:59,,23.728907,90.417137,jurain,dhaka,dhaka,37,32,25,113,,35,10,,,winter,murder,10
71,8,34,saturday,1,morning,6 - 11:59,,23.7931,90.3861,kafrul,dhaka,dhaka,29,28,26,386,,86,8,,,rainy,murder,10
72,4,17,monday,0,evening,18 - 19:59,,23.747314,90.386673,kalabagan,dhaka,dhaka,37,34,29,386,,65,10,,,hot,murder,10
73,5,18,thursday,0,afternoon,16 - 17:59,,23.777843,90.361078,kalyanpur,dhaka,dhaka,35,33,28,353,,63,9,,,hot,murder,10
74,6,23,sunday,0,morning,6 - 11:59,,23.784506,90.403409,kamrangirchar,dhaka,dhaka,32,31,29,356,,78,9,,,rainy,murder,10
75,12,49,friday,1,night,20 - 5:59,,23.737146,90.410583,karail,dhaka,dhaka,29,26,20,113,,55,10,,,winter,murder,10
76,4,18,monday,0,morning,6 - 11:59,,23.68333,90.33333,keraniganj,dhaka,dhaka,33,30,26,386,,75,8,,,hot,murder,10
77,6,26,friday,1,evening,18 - 19:59,,23.752027,90.421808,khilgaon,dhaka,dhaka,33,31,27,356,,75,9,,,rainy,murder,10
78,1,1,thursday,0,night,20 - 5:59,,23.752027,90.421808,khilgaon,dhaka,dhaka,29,25,20,113,,44,10,,,winter,murder,10
79,5,19,friday,1,morning,6 - 11:59,,23.752027,90.421808,khilgaon,dhaka,dhaka,38,35,29,386,,59,10,,,hot,murder,10
80,1,2,monday,0,night,20 - 5:59,,23.714039,90.450656,jatrabari,dhaka,dhaka,31,26,21,113,,48,10,,,winter,murder,10
81,5,18,wednesday,0,night,20 - 5:59,,23.728907,90.417137,kuril,dhaka,dhaka,34,32,26,356,,63,8,,,hot,murder,10
82,8,35,saturday,1,night,20 - 5:59,,23.721427,90.375435,lalbagh,dhaka,dhaka,35,33,29,356,,70,9,,,rainy,murder,10
83,7,29,friday,1,night,20 - 5:59,,23.721427,90.375435,lalbagh,dhaka,dhaka,34,32,28,356,,73,9,,,rainy,murder,10
84,5,19,saturday,1,night,20 - 5:59,,23.793708,90.453284,badda,dhaka,dhaka,37,34,28,116,,54,10,,,hot,murder,10
85,2,7,wednesday,0,morning,6 - 11:59,,23.728907,90.417137,malibagh,dhaka,dhaka,32,28,20,113,,37,10,,,winter,murder,10
86,8,35,monday,0,morning,6 - 11:59,,23.728907,90.417137,malibagh,dhaka,dhaka,33,31,27,176,,77,10,,,rainy,murder,10
87,8,35,monday,0,morning,6 - 11:59,,23.728907,90.417137,malibagh,dhaka,dhaka,33,31,27,176,,77,10,,,rainy,murder,10
88,12,51,friday,1,evening,18 - 19:59,,23.729159,90.441764,manda,dhaka,dhaka,27,23,18,113,,53,10,,,winter,murder,10
89,3,10,sunday,0,night,20 - 5:59,,23.805381,90.374565,mirpur,dhaka,dhaka,30,27,21,116,,61,10,,,hot,murder,10
90,4,18,monday,0,morning,6 - 11:59,,23.805381,90.374565,mirpur,dhaka,dhaka,33,30,26,386,,75,8,,,hot,murder,10
91,5,18,friday,1,afternoon,16 - 17:59,,23.805381,90.374565,mirpur,dhaka,dhaka,40,34,28,200,,59,10,,,hot,murder,10
92,8,33,tuesday,0,night,20 - 5:59,,23.805381,90.374565,mirpur,dhaka,dhaka,34,32,27,386,,74,10,,,rainy,murder,10
93,9,37,sunday,0,noon,12 - 15:59,,23.805381,90.374565,mirpur,dhaka,dhaka,35,32,28,176,,72,9,,,rainy,murder,10
94,1,2,monday,0,morning,6 - 11:59,,23.805381,90.374565,mirpur,dhaka,dhaka,31,26,21,113,,48,10,,,winter,murder,10
95,9,37,sunday,0,noon,12 - 15:59,,23.805381,90.374565,mirpur,dhaka,dhaka,35,32,28,176,,72,9,,,rainy,murder,10
96,11,46,tuesday,0,night,20 - 5:59,,23.805381,90.374565,mirpur,dhaka,dhaka,32,29,25,113,,60,10,,,winter,murder,10
97,2,5,tuesday,0,night,20 - 5:59,,23.805381,90.374565,mirpur,dhaka,dhaka,29,26,20,113,,55,10,,,winter,murder,10
98,8,31,thursday,0,noon,12 - 15:59,,23.754232,90.410831,moghbazar,dhaka,dhaka,33,31,26,386,,78,10,,,rainy,murder,10
99,2,8,sunday,0,morning,6 - 11:59,,23.784506,90.403409,mohakhali,dhaka,dhaka,36,31,24,113,,43,10,,,winter,murder,10
100,7,29,wednesday,0,morning,6 - 11:59,,23.784506,90.403409,mohakhali,dhaka,dhaka,30,28,26,356,,88,10,,,rainy,murder,10
101,9,36,wednesday,0,night,20 - 5:59,,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,353,,77,10,,,rainy,murder,10
102,9,37,wednesday,0,night,20 - 5:59,,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,353,,74,10,,,rainy,murder,10
103,9,36,wednesday,0,night,20 - 5:59,,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,353,,77,10,,,rainy,murder,10
104,8,33,monday,0,night,20 - 5:59,,23.760178,90.355229,mohammadpur,dhaka,dhaka,34,31,27,386,,77,10,,,rainy,murder,10
